Office,Write-in Candidate Name
1B08,Sabel Harris
1C02,Isabel Clements
1C07,Jean Evans
1D02,Susan Patrick
1D04,Melissa Wyers
2B01,Colton Flower
2E04,Peter Sloniewsky
2E08,Knox Graham
3B04,Richard Pollock
3C01,Samuel Littauer
3E08,Elizabeth Graff
3F01,Amy Rofman
4B02,Shamina Christian
4C01,Emily Winternitz
4D01,Antti Koskenrouta
4D04,Eliza Cava
4E04,Randy Zmuda
5C02,Sasha Ann Francis
5C06,Harry Thomas
5D07,Juan McCullum
6B04,Brian Gorman
6B05,Samuel Pastore
6B08,Edward Ryder
6C01,Jeremiah Foxwell
8D03,Cassandra M Matthews
8F05,Liam Goodwin