smd_id,lon,lat
smd_1A01,-77.03412972,38.93611303
smd_1A02,-77.03443069,38.93381287
smd_1A03,-77.03450456,38.92757368
smd_1A04,-77.03122315,38.93401296
smd_1A05,-77.03437454,38.93071629
smd_1A06,-77.02965106,38.93012216
smd_1A07,-77.02787638,38.93378167
smd_1A08,-77.02281490000001,38.9349699
smd_1A09,-77.0234507,38.93190068
smd_1A10,-77.02166227,38.92972346
smd_1A11,-77.02866324,38.9280089
smd_1A12,-77.03218347,38.9262092
smd_1B01,-77.01861219,38.91673574
smd_1B02,-77.02583608,38.91688320000001
smd_1B03,-77.02621711,38.9235578
smd_1B04,-77.03095520000002,38.91935157
smd_1B05,-77.03483519,38.92041768
smd_1B06,-77.03367763,38.92214050000001
smd_1B07,-77.03461686,38.9244696
smd_1B08,-77.03134465,38.92411115
smd_1B09,-77.02465464,38.92644435
smd_1B10,-77.0172046,38.92460292
smd_1B11,-77.02241713,38.92134765
smd_1B12,-77.03045429,38.91610949
smd_1C01,-77.04444151,38.91718255
smd_1C02,-77.04743226,38.92048567
smd_1C03,-77.04376556,38.92060992
smd_1C04,-77.04545288,38.92522014
smd_1C05,-77.03990269,38.92648502
smd_1C06,-77.03833177,38.92413955
smd_1C07,-77.04111633,38.92099393
smd_1C08,-77.03794147,38.91955029
smd_1D01,-77.03942696,38.93238645
smd_1D02,-77.03779258,38.93605114
smd_1D03,-77.04380037,38.93391563
smd_1D04,-77.03766493,38.93109848
smd_1D05,-77.04278891,38.92961112
smd_2A01,-77.04425159,38.88557694
smd_2A02,-77.05257832,38.90538397
smd_2A03,-77.05401803,38.90251423
smd_2A04,-77.05738345,38.8923578
smd_2A05,-77.05154143,38.89747613
smd_2A06,-77.04815569,38.90398353
smd_2A07,-77.04917717,38.89943499
smd_2A08,-77.04717194,38.89903558
smd_2B01,-77.04262907,38.91425386
smd_2B02,-77.04630794,38.91034831
smd_2B03,-77.04140802,38.91220145
smd_2B04,-77.03651815,38.91261601
smd_2B05,-77.03732469,38.90486477
smd_2B06,-77.043,38.9047105
smd_2B07,-77.04106427,38.90919804
smd_2B08,-77.04024711,38.9159185
smd_2B09,-77.03521745,38.91555449
smd_2C01,-77.02756668,38.89566196
smd_2C02,-77.01685784,38.89937475
smd_2C03,-77.01743103,38.89213327
smd_2D01,-77.05249942,38.91742694
smd_2D02,-77.05165667,38.91386138
smd_2E01,-77.07496999,38.9144569
smd_2E02,-77.06848309,38.91174066
smd_2E03,-77.06592259,38.90810278
smd_2E04,-77.07576471,38.90837279
smd_2E05,-77.06605626,38.90159144
smd_2E06,-77.05895557,38.90755753
smd_2E07,-77.06032892,38.91392513
smd_2E08,-77.07248223,38.90795759
smd_2F01,-77.0307978,38.91261719
smd_2F02,-77.03247769,38.90991514
smd_2F03,-77.03239926,38.90755202
smd_2F04,-77.02850472,38.90975766
smd_2F05,-77.03233863,38.90435173
smd_2F06,-77.02441646,38.90577558
smd_2F07,-77.02780695,38.90645161
smd_2F08,-77.02915432,38.90317488
smd_3B01,-77.07775321,38.92552233
smd_3B02,-77.07218641,38.92087041
smd_3B03,-77.08125469,38.92195048
smd_3B04,-77.07970019,38.92860509
smd_3B05,-77.07671338,38.91940931
smd_3C01,-77.05057441,38.92870418
smd_3C02,-77.05644533,38.92508256
smd_3C03,-77.05672124,38.92916458
smd_3C04,-77.05350391,38.93576569
smd_3C05,-77.06471945,38.93701986
smd_3C06,-77.07695961,38.93747792
smd_3C07,-77.0751814,38.93111168
smd_3C08,-77.06611227,38.92480257
smd_3C09,-77.07019553,38.93374061
smd_3D01,-77.0892917,38.92807101
smd_3D02,-77.09474382,38.93754055
smd_3D03,-77.1028613,38.94012416
smd_3D04,-77.11109186,38.93134285
smd_3D05,-77.10130037,38.92212098
smd_3D06,-77.09031183,38.91714255
smd_3D07,-77.08921644,38.93726574
smd_3D08,-77.08316759,38.93160567
smd_3D09,-77.09386246,38.90985174
smd_3D10,-77.08224355,38.93861341
smd_3E01,-77.07961996,38.94814046
smd_3E02,-77.0954657,38.94878133
smd_3E03,-77.08563542,38.95436275
smd_3E04,-77.07875816,38.95646284
smd_3E05,-77.0844156,38.94381732
smd_3F01,-77.06868972,38.94244385
smd_3F02,-77.05913519,38.9437736
smd_3F03,-77.05393998,38.95309936
smd_3F04,-77.0652929,38.94958909
smd_3F05,-77.06739065,38.95875843
smd_3F06,-77.07066393,38.94910489
smd_3F07,-77.05556662,38.941561
smd_3G01,-77.04778313,38.97993229
smd_3G02,-77.05183833,38.96961387
smd_3G03,-77.06165872,38.96149734
smd_3G04,-77.06612876,38.96899819
smd_3G05,-77.07188693,38.96580686
smd_3G06,-77.07667044,38.96320772
smd_3G07,-77.0733595,38.9584869
smd_4A01,-77.04089897,38.98538635
smd_4A02,-77.03186734,38.98376421
smd_4A03,-77.0314015,38.97401539
smd_4A04,-77.03091279,38.96765208
smd_4A05,-77.03442337,38.96489573
smd_4A06,-77.03057025,38.96169238
smd_4A07,-77.03946801,38.96403447
smd_4A08,-77.04427012,38.94265138
smd_4B01,-77.02239843,38.97809142
smd_4B02,-77.02239525,38.97250175
smd_4B03,-77.02024789,38.96744602
smd_4B04,-77.02316087,38.96287092
smd_4B05,-77.02312791,38.95904246
smd_4B06,-77.01353982,38.96228316
smd_4B07,-77.01033093,38.96848891
smd_4B08,-77.00585632,38.95926385
smd_4B09,-76.99729388,38.95929048
smd_4C01,-77.03011709,38.95650102
smd_4C02,-77.03236972,38.95085197
smd_4C03,-77.03324826,38.94507185
smd_4C04,-77.03458915,38.93948391
smd_4C05,-77.03021938,38.94149975
smd_4C06,-77.02701356,38.93782782
smd_4C07,-77.02342012,38.94347121
smd_4C08,-77.02170663,38.93927564
smd_4C09,-77.01801846,38.94606694
smd_4C10,-77.01618636,38.94146674
smd_4D01,-77.02613507,38.95613131
smd_4D02,-77.01526788,38.95481923
smd_4D03,-77.01902297,38.95254755
smd_4D04,-77.02466357,38.95238558
smd_4D05,-77.01235239,38.94901032
smd_4D06,-77.02338923,38.94840819
smd_5A01,-76.99382974,38.95504959
smd_5A02,-76.98801417,38.94948451
smd_5A03,-76.99160752,38.94574163
smd_5A04,-77.000518,38.93893954
smd_5A05,-77.01084302,38.9356476
smd_5A06,-77.00541765,38.94176079
smd_5A07,-77.00528705,38.95060569
smd_5A08,-76.99892589,38.95087289
smd_5B01,-76.97707352,38.94223391
smd_5B02,-76.98406595,38.93747863
smd_5B03,-76.98340621,38.92946544
smd_5B04,-76.99147963,38.92732985
smd_5B05,-76.9915886,38.93836522
smd_5C01,-76.96948872,38.93420601
smd_5C02,-76.96829489,38.92590267
smd_5C03,-76.953513,38.92385718
smd_5C04,-76.9647515,38.91533816
smd_5C05,-76.99074951,38.91759489
smd_5C06,-76.98204937,38.92286264
smd_5C07,-76.97437258,38.92797143
smd_5D01,-76.99064442,38.91061641
smd_5D02,-76.98369104,38.90766055
smd_5D03,-76.97954575,38.90397227
smd_5D04,-76.96724275,38.90135921
smd_5D05,-76.97590932,38.90138645
smd_5D06,-76.98721548,38.90323326
smd_5D07,-76.98518995,38.90523502
smd_5E01,-76.99893455,38.92873543
smd_5E02,-76.99765874,38.92267743
smd_5E03,-77.00160356,38.915308
smd_5E04,-77.00672204,38.91288991
smd_5E05,-77.01275612,38.90911155
smd_5E06,-77.01343178,38.91261186
smd_5E07,-77.01177367,38.91517828
smd_5E08,-77.01195951,38.91862272
smd_5E09,-77.0103627,38.92404281
smd_5E10,-77.00271016,38.92172524
smd_6A01,-76.99324387,38.90183999
smd_6A02,-76.99258369,38.89782381
smd_6A03,-76.99260809,38.89217576
smd_6A04,-76.98725396,38.89150789999999
smd_6A05,-76.98814638,38.89485209
smd_6A06,-76.98556041,38.89832776
smd_6A07,-76.98007437,38.8975269
smd_6A08,-76.9793259,38.8923657
smd_6B01,-77.00501797,38.88563824
smd_6B02,-76.99757544,38.88682076
smd_6B03,-76.99831203,38.88180633
smd_6B04,-76.99278695,38.88072345
smd_6B05,-76.99225497,38.88737847
smd_6B06,-76.98475742,38.87807652
smd_6B07,-76.98815144,38.87912674
smd_6B08,-76.98606095,38.88744977
smd_6B09,-76.97872008,38.88120792
smd_6B10,-76.98010977,38.88775067
smd_6C01,-77.00202271,38.89091923
smd_6C02,-77.01036656,38.89572955
smd_6C03,-76.99760649,38.89448801
smd_6C04,-77.00635713,38.89861744
smd_6C05,-76.99805387,38.90018882
smd_6C06,-77.00472659,38.9045597
smd_6D01,-77.02354432,38.88334064
smd_6D02,-77.01050631,38.88025568
smd_6D03,-77.01594818,38.88220867
smd_6D04,-77.02873656,38.87767943
smd_6D05,-77.02435197,38.86475861
smd_6D06,-77.01166164,38.87226586
smd_6D07,-76.99971379,38.87519539
smd_6E01,-77.02418047,38.91164417
smd_6E02,-77.01891592,38.91157992
smd_6E03,-77.02109813,38.90724995
smd_6E04,-77.01778597,38.9057641
smd_6E05,-77.01835019,38.90253124
smd_6E06,-77.01052581,38.90532
smd_6E07,-77.01263144,38.90104588
smd_7B01,-76.96447022,38.8817065
smd_7B02,-76.96665151,38.86518986
smd_7B03,-76.97047924,38.87403703
smd_7B04,-76.96010735,38.86901853
smd_7B05,-76.9622412,38.85720647
smd_7B06,-76.95373303,38.86150070000001
smd_7B07,-76.95183754,38.87203566
smd_7C01,-76.92816235,38.89816718
smd_7C02,-76.92477029999998,38.89226874
smd_7C03,-76.93178599,38.89378426
smd_7C04,-76.92490622,38.90184056
smd_7C05,-76.91597672,38.89314393
smd_7C06,-76.9213798,38.89871327
smd_7C07,-76.93100212,38.90649797
smd_7D01,-76.97011064,38.89347414
smd_7D02,-76.94313563,38.90533519
smd_7D03,-76.94458928,38.91023914
smd_7D04,-76.9586287,38.89348972
smd_7D05,-76.93780115,38.89321457
smd_7D06,-76.94138129,38.8981303
smd_7D07,-76.95425475,38.901323100000006
smd_7E01,-76.93690312,38.87780107
smd_7E02,-76.94078894,38.87229417
smd_7E03,-76.93317686,38.88028422
smd_7E04,-76.93402258,38.88586463
smd_7E05,-76.92980109,38.88593349
smd_7E06,-76.92420753,38.88489695
smd_7E07,-76.91994136,38.88773128
smd_7F01,-76.94725427,38.89407884
smd_7F02,-76.94379618,38.8855276
smd_7F03,-76.93739040000001,38.88390696
smd_7F04,-76.9538973,38.8820689
smd_7F05,-76.94943724,38.88565657
smd_7F06,-76.95485138,38.89016355
smd_7F07,-76.97035017,38.88561598
smd_8A01,-76.97871678,38.87316866
smd_8A02,-76.98361892,38.86990409
smd_8A03,-76.97316542,38.86726802
smd_8A04,-76.98179955,38.86098223
smd_8A05,-76.98312128,38.86460888
smd_8A06,-76.99367487,38.86645732
smd_8A07,-76.98927647,38.85864903
smd_8B01,-76.97632269,38.86030535
smd_8B02,-76.9699628,38.858185
smd_8B03,-76.97214104,38.85354596
smd_8B04,-76.98559036,38.85483127
smd_8B05,-76.96734893,38.85247392
smd_8B06,-76.96985061,38.84713151
smd_8B07,-76.97724832,38.84439992
smd_8C01,-77.01227383,38.8536499
smd_8C02,-77.00000104,38.85276252
smd_8C03,-76.99358058,38.84675064
smd_8C04,-77.00277161,38.8342214
smd_8C05,-77.01793181,38.84235234
smd_8C06,-76.99491101,38.85852661
smd_8C07,-76.99739545,38.83920553
smd_8D01,-76.9960544,38.82720347
smd_8D02,-77.00477134,38.82121146
smd_8D03,-77.00211072,38.82871951
smd_8D04,-77.02673296,38.81439776
smd_8D05,-77.00839116,38.8235358
smd_8D06,-77.00878072,38.82714266
smd_8D07,-77.02529195,38.83422865
smd_8E01,-76.98448286,38.849087
smd_8E02,-76.97830118,38.85126219
smd_8E03,-76.97482482,38.84831537
smd_8E04,-76.98766459,38.84261435
smd_8E05,-76.98314129,38.83803478
smd_8E06,-76.99502995,38.83420927
smd_8E07,-76.99309193,38.83081546
