anc_id_2022,district_area_2022,anc_id_2012,district_area_2012,overlap_area,overlap_perc,district_rank
anc_1A_2022,1125853.8126349787,anc_1A,1663391.9284894618,928026.4509082077,0.5579120801379355,1.0
anc_1E_2022,1682767.0147779176,anc_1A,1663391.9284894618,607927.6027303087,0.36547466193512923,2.0
anc_1D_2022,1075325.7524318134,anc_1A,1663391.9284894618,127437.69317281226,0.07661314870545233,3.0
anc_4C_2022,1690578.870587837,anc_1A,1663391.9284894618,0.08630476112727084,5.1884802161836154e-08,4.0
anc_1C_2022,1224285.2992170996,anc_1A,1663391.9284894618,0.06386870881713212,3.839666871242531e-08,5.0
,,anc_1A,1663391.9284894618,0.029551605021630196,1.7765870156930618e-08,6.0
anc_5A_2022,5819376.272538216,anc_1A,1663391.9284894618,0.002963877885926891,1.781827743157567e-09,7.0
anc_5E_2022,2045104.8344009966,anc_1A,1663391.9284894618,6.466715605524254e-05,3.887668020246272e-11,8.0
anc_1B_2022,1464265.706897377,anc_1B,2671190.982123985,1399202.2514154993,0.5238121350285969,1.0
anc_1E_2022,1682767.0147779176,anc_1B,2671190.982123985,1074838.8486943075,0.4023818798009173,2.0
anc_1A_2022,1125853.8126349787,anc_1B,2671190.982123985,197148.90347592518,0.07380561884016364,3.0
,,anc_1B,2671190.982123985,0.7477149855737986,2.7991820524163963e-07,4.0
anc_2F_2022,776324.8059662995,anc_1B,2671190.982123985,0.08152063429048054,3.0518459681853145e-08,5.0
anc_1C_2022,1224285.2992170996,anc_1B,2671190.982123985,0.0769270741717253,2.8798792256537605e-08,6.0
anc_2G_2022,1089239.6343951726,anc_1B,2671190.982123985,0.0374479394137499,1.4019192062401076e-08,7.0
anc_5E_2022,2045104.8344009966,anc_1B,2671190.982123985,0.03483333092040457,1.3040374557085023e-08,8.0
anc_2B_2022,1318654.344098554,anc_1B,2671190.982123985,0.0001662341987885479,6.223224018837004e-11,9.0
anc_1C_2022,1224285.2992170996,anc_1C,1285108.9555094857,1222983.5606467756,0.9516574881869995,1.0
anc_1B_2022,1464265.706897377,anc_1C,1285108.9555094857,60488.035056711764,0.047068409878702526,2.0
anc_3C_2022,4725916.271314588,anc_1C,1285108.9555094857,744.9203303572671,0.0005796553881004906,3.0
anc_1A_2022,1125853.8126349787,anc_1C,1285108.9555094857,678.2282073286167,0.0005277593035368203,4.0
anc_1D_2022,1075325.7524318134,anc_1C,1285108.9555094857,213.94158609476733,0.000166477391023977,5.0
anc_2D_2022,795976.6434255148,anc_1C,1285108.9555094857,0.2529757149874583,1.9685156959097313e-07,6.0
anc_2B_2022,1318654.344098554,anc_1C,1285108.9555094857,0.01670650272218782,1.300006715427835e-08,7.0
,,anc_1C,1285108.9555094857,1.7948262585426207e-09,1.3966335312254173e-15,8.0
anc_1D_2022,1075325.7524318134,anc_1D,947589.9760722195,947550.2439420933,0.999958070335135,1.0
anc_3C_2022,4725916.271314588,anc_1D,947589.9760722195,39.389204718095044,4.1567772678816346e-05,2.0
anc_1A_2022,1125853.8126349787,anc_1D,947589.9760722195,0.18893929392801556,1.9938929146461945e-07,3.0
anc_4E_2022,4036559.151734338,anc_1D,947589.9760722195,0.0861452785772878,9.090986687550432e-08,4.0
anc_1C_2022,1224285.2992170996,anc_1D,947589.9760722195,0.0628404246808268,6.631605047290779e-08,5.0
anc_4C_2022,1690578.870587837,anc_1D,947589.9760722195,0.0050004098673152265,5.2769763226517345e-09,6.0
,,anc_1D,947589.9760722195,1.4851268795034757e-09,1.567267401518279e-15,7.0
anc_2A_2022,6778235.525591391,anc_2A,7065333.820984872,6587397.049768441,0.9323546794354002,1.0
anc_2E_2022,4551524.4137976505,anc_2A,7065333.820984872,295091.92358826514,0.041766168600810824,2.0
anc_6D_2022,8295508.436712691,anc_2A,7065333.820984872,160705.1545905562,0.022745585511224253,3.0
anc_2B_2022,1318654.344098554,anc_2A,7065333.820984872,22138.197964038933,0.0031333548456388403,4.0
,,anc_2A,7065333.820984872,1.1509351853030436,1.6289891100185964e-07,5.0
anc_2C_2022,3046948.6700746496,anc_2A,7065333.820984872,0.34413835643321883,4.8708010853087716e-08,6.0
anc_2B_2022,1318654.344098554,anc_2B,2160613.4536674614,1292193.2027208272,0.5980677388301164,1.0
anc_2C_2022,3046948.6700746496,anc_2B,2160613.4536674614,592938.3926477858,0.2744305750949214,2.0
anc_2A_2022,6778235.525591391,anc_2B,2160613.4536674614,190773.7552483414,0.08829610633244869,3.0
anc_2F_2022,776324.8059662995,anc_2B,2160613.4536674614,84707.8204394895,0.039205448941227794,4.0
anc_2E_2022,4551524.4137976505,anc_2B,2160613.4536674614,0.11542139815813046,5.3420660674963514e-08,5.0
anc_1C_2022,1224285.2992170996,anc_2B,2160613.4536674614,0.0836121606007614,3.869834303717619e-08,6.0
anc_2D_2022,795976.6434255148,anc_2B,2160613.4536674614,0.07407233380031181,3.428301053785451e-08,7.0
anc_1B_2022,1464265.706897377,anc_2B,2160613.4536674614,0.009505125580699002,4.399271681181492e-09,8.0
,,anc_2B,2160613.4536674614,9.2352551438274e-10,4.2743671377919653e-16,9.0
anc_2C_2022,3046948.6700746496,anc_2C,2861740.5332097644,2172109.100570209,0.7590167855413306,1.0
anc_6E_2022,1745180.5359229217,anc_2C,2861740.5332097644,402409.4341407295,0.14061702291695255,2.0
anc_6C_2022,1999719.4562194017,anc_2C,2861740.5332097644,139307.60910252752,0.04867932906072318,3.0
anc_6B_2022,3899149.8539809,anc_2C,2861740.5332097644,130850.9403718292,0.0457242502782267,4.0
anc_2G_2022,1089239.6343951726,anc_2C,2861740.5332097644,17062.294412229556,0.00596220873773356,5.0
,,anc_2C,2861740.5332097644,0.8888107225549309,3.1058396533176597e-07,6.0
anc_2A_2022,6778235.525591391,anc_2C,2861740.5332097644,0.27933792172906147,9.761119797110066e-08,7.0
anc_2F_2022,776324.8059662995,anc_2C,2861740.5332097644,0.019778015896540272,6.911184178656826e-09,8.0
anc_6D_2022,8295508.436712691,anc_2C,2861740.5332097644,0.0014369164257959795,5.021127558983539e-10,9.0
anc_2D_2022,795976.6434255148,anc_2D,801770.7250570902,795475.4210362145,0.9921482490890056,1.0
anc_2B_2022,1318654.344098554,anc_2D,801770.7250570902,4322.80870593191,0.005391577131509889,2.0
anc_3C_2022,4725916.271314588,anc_2D,801770.7250570902,1971.7237954286925,0.002459211509984099,3.0
anc_2E_2022,4551524.4137976505,anc_2D,801770.7250570902,0.4094429131177231,5.106733138561135e-07,4.0
anc_1C_2022,1224285.2992170996,anc_2D,801770.7250570902,0.3613215842435118,4.506544987880218e-07,5.0
anc_2A_2022,6778235.525591391,anc_2D,801770.7250570902,0.0007550183325450915,9.41688576233973e-10,6.0
,,anc_2D,801770.7250570902,1.4051133731018316e-09,1.7525126937027794e-15,7.0
anc_2E_2022,4551524.4137976505,anc_2E,4256511.7311461475,4256429.044152296,0.9999805740007137,1.0
anc_2A_2022,6778235.525591391,anc_2E,4256511.7311461475,62.70479606697363,1.4731498472832626e-05,2.0
anc_3D_2022,9957815.603073288,anc_2E,4256511.7311461475,16.51005610755559,3.878776131813912e-06,3.0
,,anc_2E,4256511.7311461475,3.359883143065058,7.89351317530692e-07,4.0
anc_3B_2022,1401896.7535915207,anc_2E,4256511.7311461475,0.10088097624858494,2.370038722327703e-08,5.0
anc_3C_2022,4725916.271314588,anc_2E,4256511.7311461475,0.010083821840141153,2.369034194444917e-09,6.0
anc_2D_2022,795976.6434255148,anc_2E,4256511.7311461475,0.0012937412496501436,3.039440112859219e-10,7.0
anc_2F_2022,776324.8059662995,anc_2F,1186294.9536674782,691616.8160013345,0.5830057810354613,1.0
anc_2C_2022,3046948.6700746496,anc_2F,1186294.9536674782,281900.80196132296,0.23763129151802878,2.0
anc_2G_2022,1089239.6343951726,anc_2F,1186294.9536674782,212777.21769451362,0.17936282796846126,3.0
anc_2B_2022,1318654.344098554,anc_2F,1186294.9536674782,0.11783502000058885,9.93302885056513e-08,4.0
anc_1B_2022,1464265.706897377,anc_2F,1186294.9536674782,0.00017528735509602728,1.4776034792537844e-10,5.0
,,anc_2F,1186294.9536674782,1.6885916551072802e-09,1.4234163686585127e-15,6.0
anc_3B_2022,1401896.7535915207,anc_3B,1406293.0859611223,1183725.1393553852,0.8417343092790474,1.0
anc_3A_2022,1857708.577862214,anc_3B,1406293.0859611223,143410.23095510973,0.10197748420066852,2.0
anc_3D_2022,9957815.603073288,anc_3B,1406293.0859611223,78448.43298612941,0.055783843189781676,3.0
anc_3C_2022,4725916.271314588,anc_3B,1406293.0859611223,707.1813050260001,0.0005028690762158455,4.0
anc_2E_2022,4551524.4137976505,anc_3B,1406293.0859611223,2.1013594769547312,1.4942542901848728e-06,5.0
,,anc_3B,1406293.0859611223,2.8649293647197856e-05,2.0372206855882872e-11,6.0
anc_3C_2022,4725916.271314588,anc_3C,5293720.7500980925,4377187.967990459,0.8268641612630114,1.0
anc_3A_2022,1857708.577862214,anc_3C,5293720.7500980925,912828.1988310437,0.1724360316539419,2.0
anc_3B_2022,1401896.7535915207,anc_3C,5293720.7500980925,1696.7398886388726,0.0003205193414494771,3.0
anc_1C_2022,1224285.2992170996,anc_3C,5293720.7500980925,1301.0900003728202,0.0002457798704906584,4.0
anc_2D_2022,795976.6434255148,anc_3C,5293720.7500980925,500.8940475097383,9.462041372326955e-05,5.0
anc_1D_2022,1075325.7524318134,anc_3C,5293720.7500980925,123.8193763776512,2.3389857951112517e-05,6.0
anc_4E_2022,4036559.151734338,anc_3C,5293720.7500980925,82.01714463610287,1.549328884312288e-05,7.0
anc_2E_2022,4551524.4137976505,anc_3C,5293720.7500980925,0.022819050466421645,4.31058825042836e-09,8.0
,,anc_3C,5293720.7500980925,2.4039700097527075e-10,4.541172689753539e-17,9.0
anc_3D_2022,9957815.603073288,anc_3D,10927346.462929416,9875343.36992301,0.9037274880433888,1.0
anc_3A_2022,1857708.577862214,anc_3D,10927346.462929416,440273.8195794357,0.04029100944799791,2.0
anc_3E_2022,4221204.102001365,anc_3D,10927346.462929416,395253.6372441321,0.036171053840473914,3.0
anc_3B_2022,1401896.7535915207,anc_3D,10927346.462929416,216474.77346652272,0.019810369717927833,4.0
,,anc_3D,10927346.462929416,0.6514903707530689,5.962018070564742e-08,5.0
anc_2E_2022,4551524.4137976505,anc_3D,10927346.462929416,0.21122594725448693,1.933003112613501e-08,6.0
anc_3E_2022,4221204.102001365,anc_3E,3755317.774381749,3621850.6662499877,0.9644591706613339,1.0
anc_3A_2022,1857708.577862214,anc_3E,3755317.774381749,66905.25618294824,0.01781613706285165,2.0
anc_3/4G_2022,6874887.748610539,anc_3E,3755317.774381749,62556.10970671512,0.01665800698238219,3.0
anc_3D_2022,9957815.603073288,anc_3E,3755317.774381749,4005.6159739371656,0.0010666516696038126,4.0
anc_3F_2022,4823022.496694291,anc_3E,3755317.774381749,0.10349182228102041,2.7558738966653396e-08,5.0
,,anc_3E,3755317.774381749,0.022776341664888716,6.065090368720784e-09,6.0
anc_3F_2022,4823022.496694291,anc_3F,5524173.295657244,4680571.712837462,0.8472890806153804,1.0
anc_3C_2022,4725916.271314588,anc_3F,5524173.295657244,345210.5805918419,0.06249090354627808,2.0
anc_3A_2022,1857708.577862214,anc_3F,5524173.295657244,294291.07231367205,0.053273323728823846,3.0
anc_3E_2022,4221204.102001365,anc_3F,5524173.295657244,204099.6371636546,0.03694663911505181,4.0
anc_3/4G_2022,6874887.748610539,anc_3F,5524173.295657244,0.23108396066653908,4.183141047515702e-08,5.0
anc_4E_2022,4036559.151734338,anc_3F,5524173.295657244,0.06234236058482501,1.1285373801331438e-08,6.0
,,anc_3F,5524173.295657244,7.70079999700096e-10,1.3940185408475226e-16,7.0
anc_3/4G_2022,6874887.748610539,anc_3G,6954760.108425559,6812310.299427108,0.9795176531213672,1.0
anc_3F_2022,4823022.496694291,anc_3G,6954760.108425559,142449.540648163,0.02048230829350794,2.0
,,anc_3G,6954760.108425559,0.13670310649860543,1.965604914725847e-08,3.0
anc_3E_2022,4221204.102001365,anc_3G,6954760.108425559,0.1304059429909139,1.8750602602802878e-08,4.0
anc_4A_2022,4993826.267249855,anc_3G,6954760.108425559,0.0012412105443852103,1.784692103012306e-10,5.0
anc_4E_2022,4036559.151734338,anc_3G,6954760.108425559,3.028860587656095e-08,4.3550899534071466e-15,6.0
anc_4A_2022,4993826.267249855,anc_4A,7739216.583634064,4993824.062224127,0.6452622185021217,1.0
anc_4E_2022,4036559.151734338,anc_4A,7739216.583634064,2745335.897765498,0.3547304650409958,2.0
anc_3C_2022,4725916.271314588,anc_4A,7739216.583634064,54.498012932202215,7.041799689059984e-06,3.0
anc_3F_2022,4823022.496694291,anc_4A,7739216.583634064,1.1397168502085813,1.4726514472003707e-07,4.0
,,anc_4A,7739216.583634064,0.4860664863414641,6.280564461386663e-08,5.0
anc_4B_2022,4858317.852349523,anc_4A,7739216.583634064,0.47895277318381285,6.188646719057364e-08,6.0
anc_1D_2022,1075325.7524318134,anc_4A,7739216.583634064,0.028824386687170727,3.7244579442478674e-09,7.0
anc_3/4G_2022,6874887.748610539,anc_4A,7739216.583634064,0.00011953545005318512,1.5445419928673904e-11,8.0
anc_4C_2022,1690578.870587837,anc_4A,7739216.583634064,3.661042958903034e-08,4.730508468576721e-15,9.0
anc_4B_2022,4858317.852349523,anc_4B,5035073.867912748,4858314.387847041,0.9648943620882803,1.0
anc_4D_2022,2193861.013796212,anc_4B,5035073.867912748,176752.6435544328,0.03510428013396838,2.0
anc_5A_2022,5819376.272538216,anc_4B,5035073.867912748,5.054555625362531,1.0038692098588533e-06,3.0
anc_4A_2022,4993826.267249855,anc_4B,5035073.867912748,1.743034248675564,3.461784860364175e-07,4.0
,,anc_4B,5035073.867912748,0.09768933636489763,1.940176826152384e-08,5.0
anc_4E_2022,4036559.151734338,anc_4B,5035073.867912748,0.045788747967072566,9.09395754029999e-09,6.0
anc_4C_2022,1690578.870587837,anc_4C,3139126.035982439,1687118.3181675952,0.5374484167978254,1.0
anc_4E_2022,4036559.151734338,anc_4C,3139126.035982439,1291140.8292621786,0.4113058266735365,2.0
anc_4D_2022,2193861.013796212,anc_4C,3139126.035982439,160866.79553918858,0.05124572689826479,3.0
anc_1A_2022,1125853.8126349787,anc_4C,3139126.035982439,0.041104222173609165,1.3094161146271067e-08,4.0
anc_1D_2022,1075325.7524318134,anc_4C,3139126.035982439,0.02553004845484927,8.132852316921783e-09,5.0
,,anc_4C,3139126.035982439,0.016073631704265914,5.120416166799566e-09,6.0
